Year,Month,Day,Hour,Minute,GHI,Clearsky GHI,Cloud Type,Wind Speed,Relative Humidity,Temperature,Pressure,GHI_DAY_AHEAD
2019,1,1,0,0,0,0,8,4.6,95.61,5.9,1017,0
2019,1,1,1,0,0,0,7,4.9,95.7,6.4,1015,0
2019,1,1,2,0,0,0,6,4.3,96.75,6.7,1013,0
2019,1,1,3,0,0,0,6,4.1,97.53,7.1,1011,0
2019,1,1,4,0,0,0,6,3.9,98.02,7.7,1008,0
2019,1,1,5,0,0,0,6,4.4,97.35,8.3,1006,0
2019,1,1,6,0,0,0,6,4.7,97.22,9,1005,0
2019,1,1,7,0,0,0,6,4.9,97.46,9.9,1003,0
2019,1,1,8,0,0,0,8,4.5,98.52,10.3,1002,0
2019,1,1,9,0,0,0,7,4.5,98.36,10.9,1001,0
2019,1,1,10,0,0,0,8,4.9,97.35,12,1001,0
2019,1,1,11,0,0,0,7,4.8,97.49,12.4,1002,0
2019,1,1,12,0,0,0,7,4.7,95.42,12.6,1003,0
2019,1,1,13,0,34,70,7,4.8,90.58,12.5,1005,40
2019,1,1,14,0,67,214,6,4.7,85.68,12,1006,125
2019,1,1,15,0,85,340,6,4.8,81.44,11.4,1007,250
2019,1,1,16,0,162,426,6,5.1,76.49,10.6,1008,318
2019,1,1,17,0,269,457,7,5,73.56,9.7,1009,329
2019,1,1,18,0,428,428,0,4.7,72.06,9.1,1010,313
2019,1,1,19,0,207,345,2,4.4,72.83,8.4,1012,175
2019,1,1,20,0,96,218,4,4,75.54,7.5,1013,69
2019,1,1,21,0,38,71,4,3.6,80.09,6.2,1015,42
2019,1,1,22,0,0,0,7,3.5,82.64,5.2,1017,0
2019,1,1,23,0,0,0,7,3.5,83.74,4.5,1018,0
2019,1,2,0,0,0,0,7,3.2,84.81,3.8,1019,0
2019,1,2,1,0,0,0,7,3,85.24,3.2,1019,0
2019,1,2,2,0,0,0,7,2.9,86.09,2.6,1020,0
2019,1,2,3,0,0,0,7,2.6,87.87,1.9,1020,0
2019,1,2,4,0,0,0,7,2.5,89.01,1.3,1020,0
2019,1,2,5,0,0,0,7,2.5,89.24,0.7,1020,0
2019,1,2,6,0,0,0,7,2.4,88.87,0.4,1021,0
2019,1,2,7,0,0,0,7,2.4,89.19,0.1,1022,0
2019,1,2,8,0,0,0,7,2.4,89.22,-0.2,1022,0
2019,1,2,9,0,0,0,7,2.3,88.9,-0.4,1022,0
2019,1,2,10,0,0,0,7,2.3,89.41,-0.7,1023,0
2019,1,2,11,0,0,0,7,2.3,89.23,-0.9,1024,0
2019,1,2,12,0,0,0,7,2.3,88.24,-0.8,1025,0
2019,1,2,13,0,40,74,4,2.6,81.27,0.6,1026,21
2019,1,2,14,0,125,221,7,2.8,71.92,1.5,1026,96
2019,1,2,15,0,250,349,7,2.4,64.83,2.2,1026,117
2019,1,2,16,0,318,432,7,1.8,58.64,2.8,1026,169
2019,1,2,17,0,329,461,7,1.3,54.89,3.1,1025,357
2019,1,2,18,0,313,432,7,0.9,54.28,3.2,1024,311
2019,1,2,19,0,175,346,7,0.9,59.02,3,1024,358
2019,1,2,20,0,69,219,6,1.2,71.98,2.3,1023,227
2019,1,2,21,0,42,72,4,1.4,78.39,1.1,1023,77
2019,1,2,22,0,0,0,7,1.6,78.86,0.8,1023,0
2019,1,2,23,0,0,0,7,1.8,78.55,0.9,1022,0
2019,1,3,0,0,0,0,7,2,79.2,1,1022,0
2019,1,3,1,0,0,0,6,2.2,80.93,1.1,1021,0
2019,1,3,2,0,0,0,7,2.4,82.5,1.5,1019,0
2019,1,3,3,0,0,0,6,2.5,83.57,2.1,1018,0
2019,1,3,4,0,0,0,6,2.5,84.73,2.6,1017,0
2019,1,3,5,0,0,0,6,2.3,87.6,2.8,1016,0
2019,1,3,6,0,0,0,6,2.1,90.19,3,1015,0
2019,1,3,7,0,0,0,6,1.9,92.81,3.2,1014,0
2019,1,3,8,0,0,0,6,1.9,93.99,3.6,1012,0
2019,1,3,9,0,0,0,6,2,95.32,4,1011,0
2019,1,3,10,0,0,0,6,2,96.47,4.2,1011,0
2019,1,3,11,0,0,0,6,2,97.29,4.2,1011,0
2019,1,3,12,0,0,0,6,2.2,97.9,4.1,1011,0
2019,1,3,13,0,21,69,6,2.6,95.86,4.5,1011,39
2019,1,3,14,0,96,217,6,3.1,93.76,4.9,1012,166
2019,1,3,15,0,117,350,7,3.7,87.68,5.3,1012,255
2019,1,3,16,0,169,438,6,4.2,77.59,5.4,1012,274
2019,1,3,17,0,357,469,7,4.1,71.93,5.4,1012,324
2019,1,3,18,0,311,442,4,3.7,69.29,5.5,1012,253
2019,1,3,19,0,358,358,0,3.3,69.08,5.4,1012,117
2019,1,3,20,0,227,227,0,2.8,74.04,4.7,1013,63
2019,1,3,21,0,77,77,1,2.5,81.55,3.3,1014,29
2019,1,3,22,0,0,0,1,2.4,84.64,2.4,1015,0
2019,1,3,23,0,0,0,0,2.2,86.25,1.5,1015,0
2019,1,4,0,0,0,0,1,2,86.83,0.8,1015,0
2019,1,4,1,0,0,0,1,1.9,86.91,0.4,1015,0
2019,1,4,2,0,0,0,1,1.7,85.98,0.2,1015,0
2019,1,4,3,0,0,0,4,1.4,85.47,0.1,1015,0
2019,1,4,4,0,0,0,0,1.4,87.99,-0.2,1014,0
2019,1,4,5,0,0,0,0,1.7,90.55,-0.3,1015,0
2019,1,4,6,0,0,0,0,2,92.04,-0.4,1015,0
2019,1,4,7,0,0,0,0,2.4,91.94,-0.2,1015,0
2019,1,4,8,0,0,0,1,2.5,92.94,-0.4,1015,0
2019,1,4,9,0,0,0,4,2.6,93.52,-0.6,1015,0
2019,1,4,10,0,0,0,8,2.4,93.68,-0.7,1015,0
2019,1,4,11,0,0,0,4,2.3,93.91,-0.7,1015,0
2019,1,4,12,0,0,0,4,2.5,92.48,-0.2,1015,0
2019,1,4,13,0,39,73,4,3.1,88.3,1.4,1015,11
2019,1,4,14,0,166,221,7,3.2,84.78,3,1015,208
2019,1,4,15,0,255,348,7,3.5,79.56,4.7,1014,12
2019,1,4,16,0,274,430,7,3.5,76.7,5.7,1013,34
2019,1,4,17,0,324,457,7,3.5,76,6.3,1012,17
2019,1,4,18,0,253,428,7,3.3,78.55,6.4,1012,34
2019,1,4,19,0,117,347,6,2.9,83.13,6.1,1011,96
2019,1,4,20,0,63,222,6,2.5,88.72,5.2,1011,22
2019,1,4,21,0,29,76,7,2.5,92.98,4.2,1010,11
2019,1,4,22,0,0,0,6,2.4,95.39,4,1011,0
2019,1,4,23,0,0,0,6,2,97.74,3.6,1010,0
2019,1,5,0,0,0,0,6,1.7,99.93,3.2,1010,0
2019,1,5,1,0,0,0,6,1.6,100,3.1,1010,0
2019,1,5,2,0,0,0,6,1.5,100,3.3,1009,0
2019,1,5,3,0,0,0,6,1.5,99.54,3.6,1008,0
2019,1,5,4,0,0,0,6,1.4,98.01,4,1007,0
2019,1,5,5,0,0,0,6,1.3,97.98,4.2,1006,0
2019,1,5,6,0,0,0,9,1.6,98.99,4.3,1005,0
2019,1,5,7,0,0,0,9,2.1,98.77,4.7,1003,0
2019,1,5,8,0,0,0,6,2.5,97.94,5.1,1002,0
2019,1,5,9,0,0,0,8,3.3,97.84,5.2,1000,0
2019,1,5,10,0,0,0,0,3.8,98.2,5.2,999,0
2019,1,5,11,0,0,0,0,3.8,98.3,5.3,998,0
2019,1,5,12,0,0,0,7,3.9,97.77,5.5,997,0
2019,1,5,13,0,11,67,7,3.7,97.07,5.7,997,13
2019,1,5,14,0,208,208,1,3,96.38,5.8,996,22
2019,1,5,15,0,12,330,3,3.6,95.41,5.8,995,55
2019,1,5,16,0,34,413,4,4.4,92.83,6,994,41
2019,1,5,17,0,17,442,4,4.5,91.32,6.3,994,168
